SUBID,freezing,running,grooming
sub_1,18.79943324869766,5.276917603332549,3.890514597296715
sub_2,5.264062829021592,5.779758032876998,5.267410564702004
sub_3,5.307359500945362,3.649565118830651,6.837152212392539
sub_4,7.006176380509871,9.511427350807935,8.840690981596708
sub_5,5.593040994416681,4.273936185054481,9.038593578152359
sub_6,11.121657102452053,5.1515351282432675,5.026127689052373
sub_7,3.5928526986040463,7.756434103939682,9.583239136263728
sub_8,4.340411756395973,0.2507988456636667,9.87109980545938
sub_9,17.766857755236007,5.246046886313707,1.558250798843801
sub_10,9.138725214871359,7.817149101756513,2.264305625576526
