SUBID,freezing,running,grooming
sub_1,12.359019277004958,9.373140891548246,4.025733422022313
sub_2,10.00814004724295,4.6653270232491195,8.80246541230008
sub_3,5.511200717075207,4.068325932603329,3.6409186478704214
sub_4,11.740328041095815,6.592303242068738,2.88239280693233
sub_5,18.98921526338369,1.523466168437153,1.70645235106349
sub_6,18.75395070902247,5.728670582175255,1.7217174638062716
sub_7,5.701134620904142,2.3872602684423327,4.8204260552302
sub_8,6.685045986083921,9.623589364346117,2.529649285133928
sub_9,20.495826001517152,6.013657259754837,2.1625478961504996
sub_10,12.89239844770338,5.1502972724847496,6.743763880804181
